alpha,p,mse,l0,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1.00E-05,1,0.001757,1603.83,,,,,,,
2.00E-05,1,0.003642,678.61,,,,,,,
4.00E-05,1,0.006317,210.77,,,,,,,
8.00E-05,1,0.009281,68.28,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
2.50E-08,0.6,8.72E-05,706.342,,,,,,,
5.00E-08,0.6,0.0005501,688.755,,,,,,,
1.00E-07,0.6,0.002348,553.72,,,,,,,
2.00E-07,0.6,3.98E-03,319.398,,,,,,,
4.00E-07,0.6,5.77E-03,180.135,,,,,,,
8.00E-07,0.6,8.32E-03,106.152,,,,,,,
1.60E-06,0.6,1.21E-02,63.641,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
