alpha,p,mse,l0,mse2,l02,,,,,
,,,,,,,,,,
0.001,0.6,0.00814,1.66,0.008234,1.624,,,,,
0.0003,0.6,0.00611,4.773,0.005879,4.886,,,,,
0.00018,0.6,0.004723,7.673,0.004594,7.502,,,,,
0.0001,0.6,0.003026,12.535,0.003031,12.5,,,,,
0.000056,0.6,0.001801,19.559,0.001781,19.646,,,,,
0.00003,0.6,0.001075,28.284,0.001066,28.141,,,,,
0.000018,0.6,0.0006944,36.772,0.0006917,36.764,,,,,
0.00001,0.6,0.0004101,48.992,0.0004053,49.076,,,,,
0.0000056,0.6,0.0002241,63.568,0.0002222,63.086,,,,,
0.000003,0.6,0.0001051,81.445,0.0001025,82.109,,,,,
0.0000018,0.6,0.00003361,103.973,0.00003035,105.693,,,,,
0.000001,0.6,0.000008751,115.6,0.000008661,115.644,,,,,
0.00000056,0.6,0.000002953,119.9,0.000002925,119.976,,,,,
0.0000003,0.6,9.02E-07,122.655,8.90E-07,122.688,,,,,
0.00000018,0.6,3.41E-07,124.034,3.39E-07,124.028,,,,,
0.0000001,0.6,1.16E-07,124.974,1.14E-07,125.027,,,,,
0.000000056,0.6,4.77E-08,125.545,4.22E-08,125.573,,,,,
0.00000003,0.6,2.41E-08,128.844,2.10E-08,132.79,,,,,
0.000000018,0.6,1.82E-08,138.44,1.62E-08,138.925,,,,,
0.00000001,0.6,1.54E-08,165.72,1.37E-08,166.025,,,,,
5.6E-09,0.6,2.16E-08,202.445,1.97E-08,202.579,,,,,
0.000000003,0.6,2.52E-08,290.447,2.73E-08,292.568,,,,,
1.00E-09,0.6,1.05E-07,629.804,1.14E-07,628.851,,,,,
1.00E-10,0.6,3.62E-07,1433.86,4.43E-07,1543.247,,,,,
1.00E-11,0.6,4.28E-07,1779.9,4.37E-07,1731.428,,,,,
1.00E-12,0.6,5.60E-07,1930.044,6.62E-07,2095.506,,,,,
1.00E-13,0.6,1.75E-06,1969.026,8.36E-07,1941.705,,,,,
0.00E+00,0.6,4.60E-07,1807.572,5.28E-07,1780.33,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
0.001,0.8,0.005721,4.686,0.00583,4.583,,,,,
0.0003,0.8,0.001577,23.56,0.001589,23.317,,,,,
0.00018,0.8,0.0009583,35.463,0.0009658,36.375,,,,,
0.0001,0.8,0.0004701,43.51,0.0004728,43.728,,,,,
0.000056,0.8,0.0002706,64.409,0.0002695,64.432,,,,,
0.00003,0.8,0.0001514,100.882,0.0001501,100.289,,,,,
0.000018,0.8,0.00009088,142.401,0.00009019,142.371,,,,,
0.00001,0.8,0.00003144,141.749,0.00003014,137.412,,,,,
0.0000056,0.8,0.000004,122.192,0.000003947,122.197,,,,,
0.000003,0.8,0.000001015,123.038,0.000001006,123.097,,,,,
0.0000018,0.8,3.80E-07,124.191,3.75E-07,124.197,,,,,
0.000001,0.8,1.23E-07,125.983,1.21E-07,126.046,,,,,
0.00000056,0.8,4.99E-08,129.333,4.59E-08,131.352,,,,,
0.0000003,0.8,2.42E-08,145.569,2.11E-08,142.96,,,,,
0.00000018,0.8,1.86E-08,175.658,1.73E-08,178.867,,,,,
0.0000001,0.8,2.62E-08,238.252,2.95E-08,245.191,,,,,
0.000000056,0.8,3.77E-08,363.448,4.31E-08,345.109,,,,,
0.00000003,0.8,9.47E-08,652.742,7.36E-08,625.641,,,,,
0.000000018,0.8,1.25E-07,832.258,1.25E-07,850.184,,,,,
0.00000001,0.8,3.86E-07,1305.652,3.98E-07,1312.386,,,,,
5.6E-09,0.8,3.76E-07,1435.418,4.40E-07,1398.503,,,,,
0.000000003,0.8,4.94E-07,1531.058,5.64E-07,1596.145,,,,,
1.00E-09,0.8,6.93E-07,1.83E+03,6.53E-07,2.06E+03,,,,,
1.00E-10,0.8,4.72E-07,1.90E+03,5.09E-07,1.86E+03,,,,,
1.00E-11,0.8,4.64E-07,1.92E+03,7.56E-07,1.88E+03,,,,,
1.00E-12,0.8,6.00E-07,1.59E+03,1.10E-06,1.83E+03,,,,,
1.00E-13,0.8,6.44E-07,1.73E+03,7.52E-07,1.65E+03,,,,,
0.00E+00,0.8,5.86E-07,1.81E+03,1.07E-06,2.00E+03,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
3.00E-03,1,4.86E-03,6.231,0.004968,6.058,,,,,
2.37E-03,1,3.49E-03,10.764,0.003482,10.852,,,,,
1.80E-03,1,2.34E-03,20.039,0.002357,20.066,,,,,
1.33E-03,1,1.64E-03,34.923,0.00164,35.32,,,,,
1.00E-03,1,1.20E-03,54.831,0.001198,55.234,,,,,
7.50E-04,1,8.97E-04,80.576,0.0008969,81.356,,,,,
5.62E-04,1,6.76E-04,113.771,0.0006803,113.695,,,,,
4.22E-04,1,5.12E-04,155.121,0.0005158,155.103,,,,,
3.00E-04,1,3.69E-04,218.239,0.0003714,218.402,,,,,
2.37E-04,1,2.94E-04,271.938,0.0002937,272.865,,,,,
1.80E-04,1,2.24E-04,346.422,0.0002232,347.783,,,,,
1.33E-04,1,1.66E-04,444.693,0.0001658,445.319,,,,,
1.00E-04,1,1.24E-04,551.03,0.0001247,551.632,,,,,
1.00E-05,1,6.29E-06,1052.751,0.000005504,964.041,,,,,
1.00E-06,1,6.03E-08,339.781,3.99E-08,330.554,,,,,
