alpha,p,mse,l0,mse2,l02,,,,,
,,,,,,,,,,
1.00E-08,0.2,2.74E-07,660.858,,,,,,,
1.00E-07,0.2,5.54E-07,216.577,,,,,,,
1.00E-06,0.2,0.000002762,125.748,,,,,,,
3.00E-06,0.2,0.00001427,118.261,,,,,,,
1.00E-05,0.2,0.0001031,92.335,,,,,,,
1.80E-05,0.2,0.0002788,65.137,,,,,,,
3.00E-05,0.2,0.0005142,48.215,,,,,,,
5.60E-05,0.2,0.0009773,33.603,,,,,,,
1.00E-04,0.2,0.001817,22.574,,,,,,,
1.80E-04,0.2,0.003389,13.281,,,,,,,
3.00E-04,0.2,0.005515,6.948,,,,,,,
4.22E-04,0.2,0.007371,3.137,,,,,,,
5.62E-04,0.2,0.008419,1.529,,,,,,,
7.50E-04,0.2,9.67E-03,0.6413,,,,,,,
1.00E-03,0.2,1.07E-02,0.02461,,,,,,,
1.33E-03,0.2,1.07E-02,0.02372,,,,,,,
1.80E-03,0.2,1.07E-02,0.02349,,,,,,,
2.37E-03,0.2,1.07E-02,0.02345,,,,,,,
3.00E-03,0.2,1.07E-02,0.02348,,,,,,,
1.00E-02,0.2,1.07E-02,0.02187,,,,,,,
,,,,,,,,,,
1.00E-08,0.4,2.72E-07,854.101,,,,,,,
1.00E-07,0.4,3.10E-08,166.022,,,,,,,
1.00E-06,0.4,6.72E-07,124.214,,,,,,,
3.00E-06,0.4,3.14E-06,120.165,,,,,,,
1.00E-05,0.4,2.23E-05,107.018,,,,,,,
1.80E-05,0.4,9.10E-05,84.541,,,,,,,
3.00E-05,0.4,2.14E-04,63.582,,,,,,,
5.60E-05,0.4,4.65E-04,44.33,,,,,,,
1.00E-04,0.4,8.70E-04,31.382,,,,,,,
1.80E-04,0.4,1.83E-03,20.22,,,,,,,
3.00E-04,0.4,0.004371,10.216,,,,,,,
4.22E-04,0.4,6.76E-03,4.53,,,,,,,
5.62E-04,0.4,0.007703,2.675,,,,,,,
7.50E-04,0.4,0.008456,1.456,,,,,,,
1.00E-03,0.4,0.008966,1.102,,,,,,,
1.33E-03,0.4,0.00992,0.5075,,,,,,,
1.80E-03,0.4,0.01065,0.02399,,,,,,,
2.37E-03,0.4,0.01065,0.02369,,,,,,,
3.00E-03,0.4,0.01065,0.02353,,,,,,,
1.00E-02,0.4,0.01219,0.00005328,,,,,,,
,,,,,,,,,,
1.00E-08,0.6,5.07E-07,1316.992,,,,,,,
1.00E-07,0.6,2.12E-08,244.884,,,,,,,
1.00E-06,0.6,8.27E-08,125.187,,,,,,,
3.00E-06,0.6,5.87E-07,123.188,,,,,,,
1.00E-05,0.6,5.77E-06,117.2,,,,,,,
1.80E-05,0.6,2.06E-05,109.144,,,,,,,
3.00E-05,0.6,9.79E-05,81.247,,,,,,,
5.60E-05,0.6,2.41E-04,58.058,,,,,,,
1.00E-04,0.6,4.67E-04,41.851,,,,,,,
1.80E-04,0.6,8.43E-04,29.739,,,,,,,
3.00E-04,0.6,1.52E-03,20.898,,,,,,,
4.22E-04,0.6,2.57E-03,14.57,,,,,,,
5.62E-04,0.6,4.33E-03,8.512,,,,,,,
7.50E-04,0.6,6.83E-03,3.93E+00,,,,,,,
1.00E-03,0.6,8.33E-03,1.61E+00,,,,,,,
1.33E-03,0.6,8.88E-03,9.88E-01,,,,,,,
1.80E-03,0.6,9.61E-03,5.51E-01,,,,,,,
2.37E-03,0.6,1.05E-02,1.23E-01,,,,,,,
3.00E-03,0.6,1.07E-02,2.38E-02,,,,,,,
1.00E-02,0.6,0.01219,0.0001021,,,,,,,
,,,,,,,,,,
1.00E-08,8.00E-01,8.25E-07,1.69E+03,,,,,,,
1.00E-07,8.00E-01,9.01E-08,6.03E+02,,,,,,,
1.00E-06,8.00E-01,2.70E-08,1.33E+02,,,,,,,
3.00E-06,8.00E-01,1.85E-07,1.63E+02,,,,,,,
1.00E-05,8.00E-01,2.00E-06,1.22E+02,,,,,,,
1.80E-05,8.00E-01,9.10E-06,1.23E+02,,,,,,,
3.00E-05,8.00E-01,6.24E-05,1.25E+02,,,,,,,
5.60E-05,8.00E-01,1.31E-04,1.13E+02,,,,,,,
1.00E-04,8.00E-01,2.34E-04,7.19E+01,,,,,,,
1.80E-04,8.00E-01,4.21E-04,4.62E+01,,,,,,,
3.00E-04,8.00E-01,8.02E-04,3.64E+01,,,,,,,
4.22E-04,8.00E-01,1.19E-03,3.00E+01,,,,,,,
5.62E-04,8.00E-01,1.64E-03,2.22E+01,,,,,,,
7.50E-04,8.00E-01,2.27E-03,1.56E+01,,,,,,,
1.00E-03,8.00E-01,3.34E-03,9.88E+00,,,,,,,
1.33E-03,8.00E-01,5.96E-03,4.61E+00,,,,,,,
1.80E-03,8.00E-01,8.72E-03,1.17E+00,,,,,,,
2.37E-03,8.00E-01,9.73E-03,5.28E-01,,,,,,,
3.00E-03,8.00E-01,1.07E-02,3.30E-02,,,,,,,
1.00E-02,8.00E-01,1.22E-02,0.00002788,,,,,,,
,,,,,,,,,,
1.00E-08,1.00E+00,5.75E-07,1.69E+03,,,,,,,
1.00E-07,1.00E+00,4.86E-07,1.78E+03,,,,,,,
1.00E-06,1.00E+00,3.83E-08,3.35E+02,,,,,,,
3.00E-06,1.00E+00,1.47E-07,9.00E+02,,,,,,,
1.00E-05,1.00E+00,6.30E-06,1.05E+03,,,,,,,
1.80E-05,1.00E+00,1.51E-05,9.46E+02,,,,,,,
3.00E-05,1.00E+00,3.02E-05,3.23E+02,,,,,,,
5.60E-05,1.00E+00,6.67E-05,7.58E+02,,,,,,,
1.00E-04,1.00E+00,0.0001247,5.52E+02,,,,,,,
1.80E-04,1.00E+00,2.25E-04,3.48E+02,,,,,,,
3.00E-04,1.00E+00,3.72E-04,2.18E+02,,,,,,,
4.22E-04,1.00E+00,5.17E-04,1.55E+02,,,,,,,
5.62E-04,1.00E+00,6.82E-04,1.14E+02,,,,,,,
7.50E-04,1.00E+00,9.03E-04,8.07E+01,,,,,,,
1.00E-03,1.00E+00,1.20E-03,5.49E+01,,,,,,,
1.33E-03,1.00E+00,1.63E-03,3.55E+01,,,,,,,
1.80E-03,1.00E+00,2.37E-03,2.00E+01,,,,,,,
2.37E-03,1.00E+00,3.51E-03,1.08E+01,,,,,,,
3.00E-03,1.00E+00,4.96E-03,5.99E+00,,,,,,,
1.00E-02,1.00E+00,1.22E-02,7.43E-07,,,,,,,
,,,,,,,,,,
3.00E-03,1,4.86E-03,6.231,0.004968,6.058,,,,,
2.37E-03,1,3.49E-03,10.764,0.003482,10.852,,,,,
1.80E-03,1,2.34E-03,20.039,0.002357,20.066,,,,,
1.33E-03,1,1.64E-03,34.923,0.00164,35.32,,,,,
1.00E-03,1,1.20E-03,54.831,0.001198,55.234,,,,,
7.50E-04,1,8.97E-04,80.576,0.0008969,81.356,,,,,
5.62E-04,1,6.76E-04,113.771,0.0006803,113.695,,,,,
4.22E-04,1,5.12E-04,155.121,0.0005158,155.103,,,,,
3.00E-04,1,3.69E-04,218.239,0.0003714,218.402,,,,,
2.37E-04,1,2.94E-04,271.938,0.0002937,272.865,,,,,
1.80E-04,1,2.24E-04,346.422,0.0002232,347.783,,,,,
1.33E-04,1,1.66E-04,444.693,0.0001658,445.319,,,,,
1.00E-04,1,1.24E-04,551.03,0.0001247,551.632,,,,,
1.00E-05,1,6.29E-06,1052.751,0.000005504,964.041,,,,,
1.00E-06,1,6.03E-08,339.781,3.99E-08,330.554,,,,,
1.00E-07,1,5.63E-07,1903.871,5.23E-07,1788.525,,,,,
1.00E-08,1,9.64E-07,1625.968,4.54E-07,1787.821,,,,,
1.00E-09,1,7.33E-07,2256.629,4.92E-07,1773.873,,,,,
0.00E+00,1,7.08E-07,1850.992,5.44E-07,1895.403,,,,,
